('20170330', {'ntl_idx': 0, 'trd_idx': 0})
('20170331', {'ntl_idx': 1, 'trd_idx': 1})
('20170401', {'ntl_idx': 2, 'trd_idx': None})
('20170402', {'ntl_idx': 3, 'trd_idx': None})
('20170403', {'ntl_idx': 4, 'trd_idx': None})
('20170404', {'ntl_idx': 5, 'trd_idx': None})
('20170405', {'ntl_idx': 6, 'trd_idx': 2})
('20170406', {'ntl_idx': 7, 'trd_idx': 3})
('20170407', {'ntl_idx': 8, 'trd_idx': 4})
('20170408', {'ntl_idx': 9, 'trd_idx': None})
('20170409', {'ntl_idx': 10, 'trd_idx': None})
('20170410', {'ntl_idx': 11, 'trd_idx': 5})
('20170411', {'ntl_idx': 12, 'trd_idx': 6})
('20170412', {'ntl_idx': 13, 'trd_idx': 7})
('20170413', {'ntl_idx': 14, 'trd_idx': 8})
('20170414', {'ntl_idx': 15, 'trd_idx': 9})
('20170415', {'ntl_idx': 16, 'trd_idx': None})
('20170416', {'ntl_idx': 17, 'trd_idx': None})
('20170417', {'ntl_idx': 18, 'trd_idx': 10})
('20170418', {'ntl_idx': 19, 'trd_idx': 11})
('20170419', {'ntl_idx': 20, 'trd_idx': 12})
('20170420', {'ntl_idx': 21, 'trd_idx': 13})
('20170421', {'ntl_idx': 22, 'trd_idx': 14})
('20170422', {'ntl_idx': 23, 'trd_idx': None})
('20170423', {'ntl_idx': 24, 'trd_idx': None})
('20170424', {'ntl_idx': 25, 'trd_idx': 15})
('20170425', {'ntl_idx': 26, 'trd_idx': 16})
('20170426', {'ntl_idx': 27, 'trd_idx': 17})
('20170427', {'ntl_idx': 28, 'trd_idx': 18})
('20170428', {'ntl_idx': 29, 'trd_idx': 19})
('20170429', {'ntl_idx': 30, 'trd_idx': None})
('20170430', {'ntl_idx': 31, 'trd_idx': None})
('20170501', {'ntl_idx': 32, 'trd_idx': None})
('20170502', {'ntl_idx': 33, 'trd_idx': 20})
('20170503', {'ntl_idx': 34, 'trd_idx': 21})
('20170504', {'ntl_idx': 35, 'trd_idx': 22})
('20170505', {'ntl_idx': 36, 'trd_idx': 23})
('20170506', {'ntl_idx': 37, 'trd_idx': None})
('20170507', {'ntl_idx': 38, 'trd_idx': None})
('20170508', {'ntl_idx': 39, 'trd_idx': 24})
('20170509', {'ntl_idx': 40, 'trd_idx': 25})
('20170510', {'ntl_idx': 41, 'trd_idx': 26})
('20170511', {'ntl_idx': 42, 'trd_idx': 27})
('20170512', {'ntl_idx': 43, 'trd_idx': 28})
('20170513', {'ntl_idx': 44, 'trd_idx': None})
('20170514', {'ntl_idx': 45, 'trd_idx': None})
('20170515', {'ntl_idx': 46, 'trd_idx': 29})
('20170516', {'ntl_idx': 47, 'trd_idx': 30})
('20170517', {'ntl_idx': 48, 'trd_idx': 31})
('20170518', {'ntl_idx': 49, 'trd_idx': 32})
('20170519', {'ntl_idx': 50, 'trd_idx': 33})
('20170520', {'ntl_idx': 51, 'trd_idx': None})
('20170521', {'ntl_idx': 52, 'trd_idx': None})
('20170522', {'ntl_idx': 53, 'trd_idx': 34})
('20170523', {'ntl_idx': 54, 'trd_idx': 35})
('20170524', {'ntl_idx': 55, 'trd_idx': 36})
('20170525', {'ntl_idx': 56, 'trd_idx': 37})
('20170526', {'ntl_idx': 57, 'trd_idx': 38})
('20170527', {'ntl_idx': 58, 'trd_idx': None})
('20170528', {'ntl_idx': 59, 'trd_idx': None})
('20170529', {'ntl_idx': 60, 'trd_idx': None})
('20170530', {'ntl_idx': 61, 'trd_idx': None})
('20170531', {'ntl_idx': 62, 'trd_idx': 39})
('20170601', {'ntl_idx': 63, 'trd_idx': 40})
('20170602', {'ntl_idx': 64, 'trd_idx': 41})
('20170603', {'ntl_idx': 65, 'trd_idx': None})
('20170604', {'ntl_idx': 66, 'trd_idx': None})
('20170605', {'ntl_idx': 67, 'trd_idx': 42})
('20170606', {'ntl_idx': 68, 'trd_idx': 43})
('20170607', {'ntl_idx': 69, 'trd_idx': 44})
('20170608', {'ntl_idx': 70, 'trd_idx': 45})
('20170609', {'ntl_idx': 71, 'trd_idx': 46})
('20170610', {'ntl_idx': 72, 'trd_idx': None})
('20170611', {'ntl_idx': 73, 'trd_idx': None})
('20170612', {'ntl_idx': 74, 'trd_idx': 47})
('20170613', {'ntl_idx': 75, 'trd_idx': 48})
('20170614', {'ntl_idx': 76, 'trd_idx': 49})
('20170615', {'ntl_idx': 77, 'trd_idx': 50})
('20170616', {'ntl_idx': 78, 'trd_idx': 51})
('20170617', {'ntl_idx': 79, 'trd_idx': None})
('20170618', {'ntl_idx': 80, 'trd_idx': None})
('20170619', {'ntl_idx': 81, 'trd_idx': 52})
('20170620', {'ntl_idx': 82, 'trd_idx': 53})
('20170621', {'ntl_idx': 83, 'trd_idx': 54})
('20170622', {'ntl_idx': 84, 'trd_idx': 55})
('20170623', {'ntl_idx': 85, 'trd_idx': 56})
('20170624', {'ntl_idx': 86, 'trd_idx': None})
('20170625', {'ntl_idx': 87, 'trd_idx': None})
('20170626', {'ntl_idx': 88, 'trd_idx': 57})
('20170627', {'ntl_idx': 89, 'trd_idx': 58})
('20170628', {'ntl_idx': 90, 'trd_idx': 59})
('20170629', {'ntl_idx': 91, 'trd_idx': 60})
('20170630', {'ntl_idx': 92, 'trd_idx': 61})
('20170701', {'ntl_idx': 93, 'trd_idx': None})
('20170702', {'ntl_idx': 94, 'trd_idx': None})
('20170703', {'ntl_idx': 95, 'trd_idx': 62})
('20170704', {'ntl_idx': 96, 'trd_idx': 63})
('20170705', {'ntl_idx': 97, 'trd_idx': 64})
('20170706', {'ntl_idx': 98, 'trd_idx': 65})
('20170707', {'ntl_idx': 99, 'trd_idx': 66})
('20170708', {'ntl_idx': 100, 'trd_idx': None})
('20170709', {'ntl_idx': 101, 'trd_idx': None})
('20170710', {'ntl_idx': 102, 'trd_idx': 67})
('20170711', {'ntl_idx': 103, 'trd_idx': 68})
('20170712', {'ntl_idx': 104, 'trd_idx': 69})
('20170713', {'ntl_idx': 105, 'trd_idx': 70})
('20170714', {'ntl_idx': 106, 'trd_idx': 71})
('20170715', {'ntl_idx': 107, 'trd_idx': None})
('20170716', {'ntl_idx': 108, 'trd_idx': None})
